week_ending,btc_usd,power_law_trend,power_law_support,btc_vs_power_law_pct,gold_usd_oz,btc_gold_ratio,btc_gold_52w_zscore_pct
2010-07-18,0.08584000,0.14218770,0.05230793,-50.46629433,1191.59997559,0.00007204,
2010-07-25,0.05054062,0.15250063,0.05610185,-110.43913874,1160.40002441,0.00004355,
2010-08-01,0.06110000,0.16342133,0.06011935,-98.38198729,1193.69995117,0.00005119,
2010-08-08,0.06090000,0.17497758,0.06437065,-105.54246682,1197.50000000,0.00005086,
2010-08-15,0.06511793,0.18719803,0.06886631,-105.59670806,1229.69995117,0.00005295,
2010-08-22,0.06592899,0.20011229,0.07361720,-111.03004206,1239.50000000,0.00005319,
2010-08-29,0.06400000,0.21375090,0.07863456,-120.59282145,1246.30004883,0.00005135,
2010-09-05,0.06165000,0.22814536,0.08392999,-130.85097214,1255.59997559,0.00004910,
2010-09-12,0.06150000,0.24332816,0.08951543,-137.53738082,1266.69995117,0.00004855,
2010-09-19,0.06270000,0.25933280,0.09540320,-141.97507247,1290.19995117,0.00004860,
2010-09-26,0.06200000,0.27619378,0.10160601,-149.39683510,1308.50000000,0.00004738,
2010-10-03,0.06106487,0.29394667,0.10813694,-157.14616371,1346.40002441,0.00004535,
2010-10-10,0.09714620,0.31262807,0.11500944,-116.87971226,1369.50000000,0.00007094,
2010-10-17,0.10200000,0.33227566,0.12223738,-118.09921169,1343.30004883,0.00007593,
2010-10-24,0.11501000,0.35292825,0.12983505,-112.12456880,1322.19995117,0.00008698,
2010-10-31,0.19250000,0.37462573,0.13781710,-66.58313121,1337.09997559,0.00014397,
2010-11-07,0.34000000,0.39740915,0.14619865,-15.60207263,1399.09997559,0.00024301,
2010-11-14,0.27904000,0.42132071,0.15499523,-41.20391729,1336.80004883,0.00020874,
2010-11-21,0.27675000,0.44640378,0.16422277,-47.81093167,1372.90002441,0.00020158,
2010-11-28,0.27135868,0.47270296,0.17389770,-55.50257158,1387.30004883,0.00019560,
2010-12-05,0.20285002,0.50026403,0.18403685,-90.26691428,1382.50000000,0.00014673,
2010-12-12,0.21985361,0.52913403,0.19465753,-87.82798346,1385.50000000,0.00015868,
2010-12-19,0.24010000,0.55936125,0.20577750,-84.57399982,1386.80004883,0.00017313,
2010-12-26,0.26496213,0.59099526,0.21741501,-80.22211014,1413.09997559,0.00018750,
2011-01-02,0.29997000,0.62408695,0.22958876,-73.26072350,1373.40002441,0.00021841,
2011-01-09,0.32300000,0.65868851,0.24231796,-71.25984321,1385.69995117,0.00023310,
2011-01-16,0.38679000,0.69485349,0.25562231,-58.58191007,1370.19995117,0.00028229,
2011-01-23,0.44240000,0.73263678,0.26952201,-50.44356007,1333.00000000,0.00033188,
2011-01-30,0.47714203,0.77209468,0.28403776,-48.12929768,1331.50000000,0.00035835,
2011-02-06,0.89800000,0.81328490,0.29919079,9.90885895,1364.80004883,0.00065797,
2011-02-13,1.05000000,0.85626656,0.31500286,20.39637131,1374.69995117,0.00076380,
2011-02-20,0.86500000,0.90110024,0.33149625,-4.08870041,1413.40002441,0.00061200,
2011-02-27,0.89503311,0.94784801,0.34869380,-5.73334435,1437.19995117,0.00062276,
2011-03-06,0.88477097,0.99657340,0.36661887,-11.89939711,1429.30004883,0.00061902,
2011-03-13,0.89249000,1.04734149,0.38529540,-15.99950082,1396.00000000,0.00063932,
2011-03-20,0.74150000,1.10021888,0.40474791,-39.45892610,1437.90002441,0.00051568,
2011-03-27,0.82200000,1.15527375,0.42500146,-34.03522117,1423.80004883,0.00057733,
2011-04-03,0.77900000,1.21257584,0.44608172,-44.24911272,1457.69995117,0.00053440,
2011-04-10,0.73315682,1.27219653,0.46801495,-55.11406159,1454.90002441,0.00050392,
